Gemeente,Gebundelde uitkering Budget Definitief,Lasten Definitief,Baten Definitief,Participatiebudget Budget Voorlopig,Participatiebudget w.v. Educatiemiddelen Voorlopig,Bbz Budget Definitief,Best. levensonderhoud,Best. kapitaal,Best. onderzoek,Best. Bob,Best. Bob uitvoeringskosten,Baten levensonderhoud,Baten kapitaal,Baten Bob
Eijsden-Margraten,2910339,2910192,12270,383465,34154,13647,0,13256,16659,0,0,0,25467,0
Stichtse Vecht,9509915,9960708,205408,865609,144315,10290,154808,0,29018,0,0,8191,39545,0
Menameradiel,2410813,2836643,46670,302991,28398,7943,32783,0,7590,0,0,1786,21366,0
Hollands Kroon,6678352,6900305,189806,785249,74247,28576,78014,204423,30048,0,0,7331,303199,0
Leidschendam-Voorburg,26001189,25826292,581132,2937465,223854,29740,163180,90507,68753,0,0,141723,116555,0
De Friese Meren,11691716,12379947,244180,1227401,103295,84455,222207,80000,48730,0,0,13037,131043,0
Goeree-Overflakkee,4661104,5002139,145369,504386,83857,13322,66337,69441,59274,0,0,65,48653,0
Pijnacker-Nootdorp,6342157,6357168,96533,627231,123927,12651,42175,44600,28423,0,0,500,76212,0
Molenwaard,2282583,2501255,48111,267782,50868,0,15549,165000,7050,0,0,2408,12000,0
Montferland,6655762,8197259,205030,785851,74277,27408,80306,22500,57456,0,0,7677,106071,0
Menterwolde,4223997,,,613025,43015,8991,,,,,,,,
